number,tweets,positive  match,negative  match,score,polarity
198,NOOOOOOOOOO  FUCK  ALL  OF  YOU  FOR  NOT  VOTING  FOR  BERNIE  I  M  MOVING  TO  CANADA,,fuck,-1,negative
199,I  m  not  even  sure  I  considered  it  a  feminist  standpoint  just  basic  decency  I  guess  I  would  look  at  countries  that  have  a  better  policy  on  that  What  do  they  do  How  did  they  do  it  Didn  t  Canada  just  make  it  18  months  There  has  to  be  a  way  Best  of  luck  to  you  and  all  Mothers,decency|better|best|luck,,4,positive
200,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
201,BreanneBanks  Italian  Canadian  Beauty  GTA  amp  Fly  Me  to  You,beauty,,1,positive
202,unbelievable  is  this  what  Trudeau  admires  so  much,,unbelievable,-1,negative
203,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Netherlands  4Switzerland  3HK  3Australia  3Germany  2San  Marino  2Canada  1Egypt  1Thailand  1Lebanon  1Taiwan  1Philippines  1Argentina  1Morocco  1,,,0,neutral
204,Assaulted  Women  s  Helpline  Ontario  Canada  is  1-866-863-0511  can  accept  calls  from  outside  Ontario,,,0,neutral
205,Serious  Question  to  Did  you  and  your  entourage  get  tested  when  you  returned  to  Canada,,,0,neutral
206,Rose  Paradis  In  VanCouver  A  refreshingly  french  fun  seductive  with  a  sexy  Feminine  approach  cour,fun|sexy,,2,positive
207,took  these  when  i  went  to  canada  lt  3,,,0,neutral
208,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
209,has  taken  down  He  is  in  the  PMO  vie  Trudeau  and  Freeland  also  fund  and  all  donated  inte,,,0,neutral
210,Mila  MaxwellCanadian  Companion  amp  Geeky  Girl  Next-Door  Ottawa  Toronto,geeky,,1,positive
211,What  accusation  Canada  s  Public  Health  Dept  says  you  need  14  days  quarantine  You  refused  to  do  that  amp  went  into  a  crowd  putting  thousands  of  lives  at  risk  That  s  not  an  accusation  That  s  a  fact  And  I  hope  the  authorities  including  the  police  make  you  understand  that,,accusation|refused|risk,-4,negative
212,WOW  Full  Supermoon  seen  Monday  night  from  Manitoba  Canada  Photo  courtesy  of,wow,,1,positive
213,Some  life  news  I  m  pleased  to  announce  that  I  ll  be  joining  the  faculty  at  McGill  University  in  fall  2021  as  an  Assistant,pleased,fall,0,neutral
214,You  Can  t  Fight  City  Hall  But  Maybe  You  Can  Fight  Google,,,0,neutral
215,The  environmental  protesters  believe  aboriginal  communities  should  be  barred  and  excluded  from  the  economic  opportunities,,,0,neutral
216,What  s  all  that  talk  about  Canada  You  fraud,,fraud,-1,negative
217,Play  time  A  polar  bear  mama  is  playing  with  her  cubs  after  just  emerging  from  hibernation  in  -40  at  Wapusk  National  Park  in,,,0,neutral
218,Head  of  Polish  Figure  Skating  Association  recommends  skipping  World  Championships  in  Canada  Montreal  By  tomorrow  athle,,,0,neutral
219,Once  Canada  rids  itself  of  this  delusional  liberal  government  how  do  we  extricate  ourselves  from  the  suicidal  agreements  Trudeau  has  promised  the  Chinese,promised,delusional|suicidal,-1,negative
220,Ive  never  waited  to  vote  more  than  10  minutes  in  my  entire  voting  lifeAndI  get  3  paid  hours  off  from  work  to  voteAndPeople  in  Canada  still  dont  voteIts  a  paid  afternoon  off  with  a  short  10  minute  interval  to  voteTime  for  a  coffee  and  reflect  for  an  hour  or  so  on  your  vote,work,,1,positive
221,As  part  of  the  new  NAFTA  we  re  exporting  real  names  to  Canada  bona  fide  versimilitude  havin  names  like  Bebe  Rebozo  Bob  Abplanalp  shit  like  that,like,shit,1,positive
222,Ok  genius  what  percentage  of  Saudi  oil  does  Canada  buy  If  a  con  knew  a  fact  a  con  wouldn  t  look  like  he  s  running  a  con,genius|like,,2,positive
223,Yoongi  said  Canada  Canadians  it  s  a  win  for  us  today,win,,1,positive
224,next  time  i  go  to  canada  we  should  grab  a  beer  or  something,,,0,neutral
225,This  guy  is  an  idiot  He  is  the  reason  for  99  9  of  Canada  s  economic  impacts,,idiot,-1,negative
226,I  am  sorry  to  hear  that  7  new  cases  in  Alberta  Canada  That  is  19  so  far,,sorry,-1,negative
227,COVID-19  Border  services  agents  have  expressed  concerns  over  the  lack  of  Health  Canada  resources  on  the  ground  Healt,,concerns|lack,-2,negative
228,Mina  Subway  Advertising  in  Toronto  2020  03  09-04  04Toronto  Queen  Station  Southbound  P,,,0,neutral
229,I  met  with  Parliamentary  Secretary  of  the  Minister  of  Foreign  Affairs  I  gave  it  to  him  the  2019  report  of  Crimes  against  Humanity  in  Venezuela  presented  before  the,,,0,neutral
230,You  know  where  they  don  t  have  a  survival  of  the  fittest  policy  on  Denmark  and  Canada,survival,,1,positive
231,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Netherl,,,0,neutral
232,Weird  you  are  all  from  Canada  people  like  her  make  snarky  comments  on  things  they  know  nothing  about  and  think  they  are  being  funny  a  man  s  whole  life  reputation  or  his  innocent  against  false  allegations  isn  t  a  joke,like|reputation,weird|snarky|funny|false|allegations|joke,-4,negative
233,Big  Brother  Canada  8  March  10  LFC  Roundtable  LIVE  9e  6p,,,0,neutral
234,But  that  isn  t  how  it  s  done  The  pay  varies  depending  on  what  you  are  playing  The  World  Cup  pays  more  than  a  friendly  against  Canada  The  women  also  get  paid  for  things  that  men  don  t  USSF  subsidizes  the  NWSL  and  pays  for  health  insurance  and  a  stipend,friendly|subsidizes,,2,positive
235,WOW  Full  Supermoon  seen  Monday  night  from  Manitoba  Canada  Photo  courtesy  of,wow,,1,positive
236,We  aim  to  make  sure  young  women  see  what  their  career  opportunities  are  and  what  they  should  do  to  get  there  to,,,0,neutral
237,Conservatives  amp  NDP  have  been  complaining  that  the  Liberals  have  been  too  slow  in  response  to  HELLO  People  ac,,complaining|slow,-2,negative
238,Covid19  is  good  for  reducing  carbon  emissions  Shouldn  t  we  help  it  out  instead,good,,1,positive
239,When  the  President  warns  of  a  potential  threat  he  s  labeled  a  fear-monger  When  the  President  is  optimistic  and  hopefu,optimistic,threat,0,neutral
240,if  gender  is  no  longer  binary  then  why  is  the  default  position  of  other  genders  to  be  lumped  into  the  women  category  here  in  Canada  the  Status  of  Women  was  renamed  Women  and  Gender  Equality  is  now  Women  and  Marginalized  Genders  DayWhy  can  t  MEN  yield  some  power  status,,,0,neutral
241,Your  responsibility  is  to  Canada  and  Canadians  first  and  foremost  Appointing  a  Premier  from  Ontario  w,foremost|premier,,2,positive
242,Prime  Minister  Justin  Trudeau  announces  that  he  intends  to  appoint  the  Honourable  Bob  Rae  as  Canada  s  Special  Envoy  on  Huma,,,0,neutral
243,Even  before  the  crash  this  week  unemployment  in  Canada  was  getting  worse  This  is  what  happens  when  your  government  can  t  stop  spending,,crash|worse,-2,negative
244,I  absolutely  agree  with  this  statement,,,0,neutral
245,China  has  built  entire  hospitals  from  scratch  in  order  to  fight  that  virus  What  is  Canada  waiting  for  to  do  the  same,,scratch|virus,-2,negative
246,Monique  MathesonYour  Ottawa  area  companion  and  tour  guide  Loving  life  and  all  the  wonderful  men  in  it,loving|wonderful,,2,positive
247,Double  Strand  Sky  Blue  Crackle  Glass  Bead  10  Add  1  to  ship  to  US  amp  Canada  Free  US  shipping  for  orders  over  US  35,free,,1,positive
248,9  To  all  in  the  UK  the  USA  INDIA  and  Canada  reading  HWSNBN  FREE  Hybrid  Series  Spin-off  on  Amazon  Apple  amp  B  amp  Noble  Much  appreciated  DON  T  PAY  FOR  THIS  READ  FREE  ON  MY  WEBSITE  and  SMASHWORDS  And  Amazon,free|noble|appreciated,,4,positive
249,LIVE  coronavirus  update  Air  Canada  suspending  flights  to  and  from  Italy  -  Toronto  Star,,,0,neutral
250,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
251,Announcing  World  Editions  is  proud  to  bring  back  to  the  US  Canada  and  the  UK  for  the  seco,proud,,1,positive
252,Thank  you  for  remembering  and  supporting  the  families  of  my  father  would  be  prou,thank|supporting,,2,positive
253,Canada  and  British  Columbia  legitimize  a  group  of  bullies  Ms  Tait  Day  said  The  most  intelligent  thing  said  so  far  about  this  entire  issue  Summed  up  perfectly  in  one  sentence,intelligent|perfectly,bullies|issue,0,neutral
254,Throughout  the  outbreak  Tom  Cotton  has  been  only  official  talking  common  sense  Everyone  knows  China  has,,outbreak,-1,negative
255,Nonprofits  set  up  Repair  Cafe  s  all  across  Canada  via,,,0,neutral
256,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
257,y  all  gonna  really  make  me  go  against  every  spec  of  soul  and  intelligence  i  ve  got  in  my  body  and  vote  for  biden  in  november  just  bc  y  all  think  he  s  cool  enjoy  ur  wars  amp  hatred  of  the  poor  and  poc  i  gotta  get  to  canada,intelligence|cool|enjoy,hatred|poor,1,positive
258,Karina  ValentinaSweet  charming  elegant  lady  with  passionate  heart  mesmerizing  eyes  and  graceful  figu,charming|elegant|passionate|mesmerizing|graceful,,5,positive
259,The  Nigerian  embassy  in  Ottawa  capital  of  Canada  could  not  process  passport  renewal  because  the  machine  has  spoilt  and  t,,,0,neutral
260,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
261,This  guidance  on  measures  for  individuals  gives  detailed  information  on  how  to  reduce  spread  of  c,guidance,,1,positive
262,Rae  is  a  poster  boy  for  what  happened  to  the  Liberal  party  The  NDPers  have  infiltrated  it  seeing  that  it  is  th,,,0,neutral
263,pray  for  canadians  they  livin  in  Canada,,,0,neutral
264,Big  Brother  Canada  8  March  10  LFC  Roundtable  LIVE  9e  6p,,,0,neutral
265,cases  of  double  to  14  medical  officer  reports,,,0,neutral
266,Ermahgerd  y  all  she  s  a  bestseller  of  all  the  books  sold  in  Canada  today  Thank  you  You  all  did  this  Feeling  so  l,thank,,1,positive
267,Julia  Quinn  The  Ideal  Companion  Sexy  Witty  Charming  Captivating  Angelic  Heart  amp  Smile  Toronto  Onta,ideal|sexy|witty|charming|captivating|angelic|smile,,7,positive
268,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
269,Someone  found  this  cool  little  article  of  our  dad  at  a  local  barbershop  in  today  from  a  1997  issue  of,cool,issue,0,neutral
270,Trudeau  has  regularly  done  the  opposite  putting  virtue-signalling  ahead  of  the  health  of  the  Canadian  energy  sector  an,,,0,neutral
271,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
272,ElleSparksInternationalThe  traveling  Internationally  known  Companion  Your  new  addiction  Unicorn  with,,,0,neutral
273,A  word  to  my  friends  in  Canadian  PSE  institutions  who  I  know  are  working  hard  on  contingency  planning  right  now  do  som,right,hard,0,neutral
274,The  risk  of  disease  remains  low  in  Canada  even  if  cases  have  been  reported  here  Measures  are  in  p,,risk,-1,negative
275,How  is  preparing  Are  we  ready,ready,,1,positive
276,The  Back  Streeters  and  the  White  Boys  Racism  in  rural  Canada,,racism,-1,negative
277,If  Biden  wins  Trump  wins  I  m  a  member  of  several  marginalized  groups  that  Trump  has  been  targeting  and  will  continue  to  I  m  absolutely  terrified  I  d  move  to  Canada  but  you  can  t  immigrate  there  when  you  re  autistic  like  me,wins|trump|like,,5,positive
278,What  an  amazing  MLA  David  Mark  Ritcey  will  make  Well  done  Well  done  Tories  take  byelection  in  Truro-Bible  Hill-Millbr,amazing|well,,3,positive
279,Buddy  had  the  challenges  show  up  but  keeps  getting  kicked  mine  don  t  even  show  up  Are  they  not  available  in  Canada  or  what  -  -,available,,1,positive
280,The  Chief  Medical  officer  for  Alberta  Canada  confirms  that  one  of  seven  cases  of  Covid  19  was  a  person  who  returned  from,,,0,neutral
281,Oh  So  finally  has  left  the  Apparently  Madame  flew  back  right  after  the  service  -  stays  on  in  UK  to  work  while  flies  back  to  via  Well  that  s  the  end  of  that  then,right|work|well,,3,positive
282,How  is  free  healthcare  working  in  Canada  Well  in  Ontario  the  country  s  largest  province  the  cost  of  nationalized  health,free|well,,2,positive
283,Thank  you  David  We  need  a  federal  government  that  supports  our  resource  sector  because  what  s  good  for  Alberta  is  good,thank|supports|good,,4,positive
284,I  wish  Canada  could  be  like  Poland  is  now,like,,1,positive
285,Canada  is  considered  as  one  of  the  very  few  true  democracies  remaining  If  the  fascist  conservatives  come  to  power  we  can,,fascist,-1,negative
286,yall  got  a  walmart  in  canada,,,0,neutral
287,According  to  Homeless  Hub  homelessness  among  Indigenous  people  in  Canada  today  is  a  consequence  of  contemporary  racism  dis,,racism,-1,negative
288,WOW  Full  Supermoon  seen  Monday  night  from  Manitoba  Canada  Photo  courtesy  of,wow,,1,positive
289,This  website  gives  real  time  updates  to  the  Coronavirus  outbreak  in  the  United  States  and  Canada  They  aggregate  informati,,outbreak,-1,negative
290,Ryerson  University  must  transfer  withheld  funding  to  student  union  judge,,,0,neutral
291,According  to  Homeless  Hub  homelessness  among  Indigenous  people  in  Canada  today  is  a  consequence  of  contemporary  racism  dis,,racism,-1,negative
292,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
293,Yoongi  said  Canada  Canadians  it  s  a  win  for  us  today,win,,1,positive
294,In  the  morning  the  cops  come  and  I  escape  in  one  of  their  uniforms  I  tell  her  to  meet  me  in,,,0,neutral
295,Countries  such  as  Germany  Norway  Netherlands  France  Canada  United  Kingdom  Ireland  Italy  Denmark  Sweden  Finland,,,0,neutral
296,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
297,is  anyone  here  from  canada,,,0,neutral
298,Pearl  Jam  a  band  is  literally  taking  bigger  quicker  actions  than  the  gvt  of  Canada  No  but  seriously  though  wake  up  Canada,quicker,jam,0,neutral
299,Please  to  see  this  morning  some  very  few  regions  are  sc,,,0,neutral
300,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
301,Coronavirus  disease  COVID-19  Awareness  resources  -,,,0,neutral
302,canada  is  paying  4500  for  people  willingly  giving  themselves  the  coronavirus  this  is  legit  perfect  for  the  pyramid  scheme  shorties,willingly|perfect,,2,positive
303,The  slash  amp  burn  idiocy  of  kenney  kijiji  amp  drug  ford  have  failed  miserably  Both  are  crying  that  the  feds  wont  give  them  m,,burn|idiocy|failed|miserably,-4,negative
304,If  y  all  let  trump  win  for  supposedly  finding  the  cure  for  Corona  I  m  moving  to  Canada,trump|win|cure,,3,positive
305,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
306,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
307,It  s  been  44  days  since  the  first  case  of  COVID19  in  Canada  And  still  no  help  for  those  who  don  t  have  sick  leave  a,,sick,-1,negative
308,Your  job  prospects  are  correlated  with  not  how  hard  you  work  or  how  well  you  did  in  school  but  what  job  you  re  father  had  a,work|well,hard,1,positive
309,Supreme  Court  of  Canada  s  1997  Delgamuukw  decision  recognized  amp  Hereditary  Leaders  HAD  NOT  given  up  right,supreme|right,,2,positive
310,Canada  s  federal  government  will  come  up  with  money  for  people  who  have  to  self-quarantine  during  the  crisis  PM  Justin  Trudeau  to  announce  Wednesday,,crisis,-1,negative
311,Forever  was  a  great  success  on  American  radios  reaching  position  9  on  the  Hot  100  Airplay  list  and  2  on  the  Adult  Cont,great|success|hot,,3,positive
312,This  is  what  happens  when  you  preach  the  risk  is  low  for  2  months,,risk,-1,negative
313,United  States  amp  Canada  The  cumulative  number  of  confirmed  Corona  virus  COVID-19  cases  in  the  USA  amp  Canada  Updated  Daily  Source  World  Health  Organisation,,virus,-1,negative
314,Proud  of  the  HC  team  helping  behind  the  scenes  including  IT  and  Security,proud|helping,,2,positive
315,Thanks  dah-ling  Waving  thanks  from  Canada,,,0,neutral
316,took  these  when  i  went  to  canada  lt  3,,,0,neutral
317,Today  is  the  anniversary  of  the  Tohoku  tsunami  I  ll  never  forget  how  terrifying  it  was  watching  it  on  the  news  from  Cana,,,0,neutral
318,took  these  when  i  went  to  canada  lt  3,,,0,neutral
319,I  m  going  to  Canada  like  Prince  Harry  and  his  wife  Meghan,like,,1,positive
320,Online  Threats  Racism  Causing  Fear  for  Indigenous  Women  MMWIG  Commissioner,,threats|racism|fear,-3,negative
321,I  think  no  need  to  panic  in  Canada  but  a  few  suggestions  1-  It  is  good  to  pile  stock  stuff  gradually  2-  We  could  offer  to  buy  stuff  for  elderly  relatives  or  neighbours  3-Exchange  numbers  with  elderly  neighbors  they  may  need  help  in  case  of  an  outbreak,good,panic|outbreak,-1,negative
322,I  m  in  Canada  which  is  heating  up  faster  than  everywhere  else  Plus  the  recent  NDP  report  said  Alberta  will  be  effected  mor,faster,,1,positive
323,Do  it  the  way  Canada  does  Universal  Health  Care  is  mandated  federally  and  administered  provincially  Let  the  Federal  Government  set  the  mandate  and  purchasing  power  and  have  the  individual  States  administer  and  provide,,,0,neutral
324,This  website  gives  real  time  updates  to  the  Coronavirus  outbreak  in  the  United  States  and  Canada  They  aggregate  informati,,outbreak,-1,negative
325,Canada  Must  Shut  Our  Borders  Cancel  School  Nationwide  And  Cancel  All  Large  Public  Gatherings  NOW,,,0,neutral
326,I  recommend  Davide  Icke  s  videos  for  learning  about  reptilians  The  queen  of  England  has  a  warrant  for  her  arrest  from  Canada  for  taking  8  children  from  poor  communities  Why  would  she  do  that  Learn  Pizza  gate,recommend,poor,0,neutral
327,Watch  a  brand  new  episode  of  Vital  Signs  this  week  featuring  the  Hon  Hugh  Segal  talking  about  his  career  in  polit,,,0,neutral
328,me  going  to  canada  next  week,,,0,neutral
329,It  s  been  44  days  since  the  first  case  of  COVID19  in  Canada  And  still  no  help  for  those  who  don  t  have  sick  leave  a,,sick,-1,negative
330,As  the  coronavirus  spreads  writes  I  m  glad  we  have  universal  health  care  in  Canada,glad,,1,positive
331,Dr  Tam  people  are  not  listening  I  know  someone  who  went  to  work  today  with  a  cough  This  person  has  been  i,work,,1,positive
332,Me  rn,,,0,neutral
333,This  website  gives  real  time  updates  to  the  Coronavirus  outbreak  in  the  United  States  and  Canada  They  aggregate  informati,,outbreak,-1,negative
334,By  the  time  Alberta  gets  through  COVID-19  Global  Energy  War  Bill  C69  Bill  C48  Pipeline  Blockades  Carbon  Taxes  and,,,0,neutral
335,Bring  it  to  Canada  we  are  nicer,nicer,,1,positive
336,Canada  you  all  okay  up  there  Has  anyone  heard  from  Ireland  I  haven  t  seen  them  in  weeks  Brazil  called  in  earlier  They  re  going  through  some  stuff,,,0,neutral
337,What  about  showing  some  love  with  a  Gigafactory  in  Canada  A  couple  empty  soon  to  be  empty  Big  Three  facilities  for  you  to  remodel,love,,1,positive
338,Breaking  Seven  more  people  in  B  C  have  tested  posted  for  the  novel  coronavirus  including  two  health-care  workers  at  Lynn,,breaking,-1,negative
339,Canada  the  land  of  free  crime  and  Terrorism  why  go  anywhere  else,free,crime|terrorism,-1,negative
340,Thing  is  we  don  t  know  exactly  when  this  is  all  going  to  be  resolved  in  Canada  or  if  they  know  how  to  test  for  it  Some  morons  are  not  going  to  take  this  seriously  and  will  go  out  regardless  if  they  have  the  virus  or  not  That  includes  going  to  work,work,morons|virus,-1,negative
341,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
342,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
343,Canada  has  BEEN  doing  this  how  is  this  not  common  sense  Im  so  confused,,confused,-1,negative
344,Even  the  worst  Canada  you  are  showing  us  has  JOBS  JOBS  JOBS,,worst,-1,negative
345,How  about  Central  Canada  We  need  something  with  the  word  Giga  in  it,,,0,neutral
346,Luna  Lace  Let  us  toast  to  animal  pleasures  to  escapism  and  the  good  life  whatever  it  is  and  whereve,good,,1,positive
347,My  husband  is  a  veteran  of  the  United  States  Army  and  a  dual  citizen  of  Canada  and  the  United  States  but  he  is  an  illegal  alien  in  Ontario  as  he  doesn  t  have  any  ID  except  a  California  driver  s  licence  and  passport  which  have  expired  as  he  has  been  held  in  Ontario  over  5  years,,illegal|expired,-2,negative
348,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
349,This  is  a  a  very  good  resource  COVID-19  Coronavirus  Real  Time  Updates  With  Credible  Sources  in  US  and  Canada  1Point3Acres,good|credible,,2,positive
350,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
351,Do  you  remember  Once  Over  by  Stan  Meissner  Hear  it  on  at  for  Canada  s  Best  Music  of,best,,1,positive
352,Canada  s  needs  law  enforcement  and  free  speech  not  selective  indignation  2  2,free|selective,indignation,1,positive
353,Dr  Lawrence  Loh  talks  to  CBC  television  about  when  to  call  Peel  Public  Health  about  COVID-19  concerns  If  you  have  rec,,concerns,-1,negative
354,Big  Pharma  and  Big  Insurance  are  ramping  up  their  efforts  to  block  Let  s  show  them  what  a  REAL  grassroots,,,0,neutral
355,Today  is  the  anniversary  of  the  Tohoku  tsunami  I  ll  never  forget  how  terrifying  it  was  watching  it  on  the  news  from  Cana,,,0,neutral
356,Our  PM  just  sent  condolences  to  the  family  of  Canada  s  first  known  fatality  with  Thread  comments  on  this,,,0,neutral
357,Bill  Morneau  is  nothing  more  than  a  2000  suit  with  a  200  haircut  He  bled  Canada  dry  in  a  time  of  plenty  Don  t  expect,,,0,neutral
358,He  s  the  laugh  of  Canada  give  me  a  break  rose  coloured  glasses  omg  he  must  be  the  only  one  that  thinks  that,,break,-1,negative
359,Spring  leaf  out  is  24-30  days  early  in  the  mid  Atlantic  and  7-10  days  early  in  the  Midwest  I  don  t  know  where  to  find  stats  like  that  for  Canada  so  I  ll  use  Detroit  Buffalo  data  to  see  how  early  it  is  this  year  for  us,like,,1,positive
360,Canada  has  an  economy  What  is  it  It  s  not  a  resource  based  economy  anymore  What  the  fuck  is  Canada  s  economy  now,,fuck,-1,negative
361,According  to  Homeless  Hub  homelessness  among  Indigenous  people  in  Canada  today  is  a  consequence  of  contemporary  racism  dis,,racism,-1,negative
362,Women  s  French  Soccer  Tournament  Canada  Draws  With  Brazil,,,0,neutral
363,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
364,Trudeau  has  regularly  done  the  opposite  putting  virtue-signalling  ahead  of  the  health  of  the  Canadian  energy  sector  an,,,0,neutral
365,i  just  saw  canada  lolol,,,0,neutral
366,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
367,has  taken  down  He  is  in  the  PMO  vie  Trudeau  and  Freeland  also  fund  and  all  donated  inte,,,0,neutral
368,Can  you  f  cking  imagine  what  it  would  be  like  in  Canada  if  the  was  in  charge  of  the  response  As  the  worl,like,,1,positive
369,O  amp  G  companies  are  multinational  in  the  truest  sense  of  the  word  They  owe  no  allegiance  to  Canada  nor  to  Alberta  They  do  no,,,0,neutral
370,The  question  for  Canadians  is  whether  even  the  best  response  at  home  will  prevent  a  mass  outbreak  and  chaos  if  the  U  S  co,best,outbreak|chaos,-1,negative
371,Excited  to  dig  deep  in  Ontario  Canada  health  advocacy  with  and  on  April,excited,,1,positive
372,Assaulted  Women  s  Helpline  Ontario  Canada  is  1-866-863-0511  can  accept  calls  from  outside  Ontario,,,0,neutral
373,Air  Canada  is  suspending  all  flights  between  Canada  and  Italy  as  of  tomorrow  They  say  the  last  flight  departing  for  R,,,0,neutral
374,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
375,In  Canada  the  coronavirus  challenge  is  bringing  out  the  best  in  governments  at  all  levels  In  the  U  S  Donald  Trump  is  fa,best|trump,,2,positive
376,City  and  town  planners  community  organization  administrators  and  employers  consult  our  measures  aimed  at  r,,,0,neutral
377,MPs  REACT  Should  illegals  crossing  the  border  into  Canada  be  quarantine  via,,,0,neutral
378,The  2020  Juno  Awards  will  air  this  Sunday  March  15,awards,,1,positive
379,This  crap  comes  from  practice  management  groups  Embarrassed  to  be  under  a  similar  umbrella,,crap,-1,negative
380,stay  in  Canada  s  business,,,0,neutral
381,It  s  only  Thursday  and  I  ve  been  in  Canada  twice  this  week,,,0,neutral
382,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
383,As  countries  around  the  world  enforce  quarantines  and  restrict  travel  pressure  is  mounting  on  Canada  to  take  similar  measures,,restrict,-1,negative
384,Right  worse  than  a  school  shooter,right,worse,0,neutral
385,Going  live  with  the  first  Roundtable  of  the  season,,,0,neutral
386,I  begged  and  pleaded  with  her  to  wait  for  results  and  self-isolate  and  she  said  her  dr  didn  t  give  her  any  guidance  or  instructions  and  that  she  was  fine  I  sent  her  screenshots  from  gov  of  Canada  page  telling  PUI  to  self-isolate  and  wait  for  the  go  ahead  and  she  ignored  me,guidance|fine,,2,positive
387,So  this  is  the  new  normal  Corruption  just  runs  rampant  and  a  separatist  party  props  up  the  most  corrupt  of  them,,corruption|rampant|corrupt,-3,negative
388,If  Biden  wins  Trump  wins  I  m  a  member  of  several  marginalized  groups  that  Trump  has  been  targeting  and  will  continue  to  I  m  absolutely  terrified  I  d  move  to  Canada  but  you  can  t  immigrate  there  when  you  re  autistic  like  me,wins|trump|like,,5,positive
389,Keep  walking  Meghan  until  you  hit  Canada  But  do  NOT  walk  to  America  We  never  wanted  you  and  we  want  you  even  less  now,,,0,neutral
390,here  is  an  idea  -  do  this  New  Brunswick  got  it  right  Protect  us  our  kids  and  the  spread  of  the  virus,right|protect,virus,1,positive
391,Countries  such  as  Germany  Norway  Netherlands  France  Canada  United  Kingdom  Ireland  Italy  Denmark  Sweden  Finland,,,0,neutral
392,Environmental  racism  is  the  problem  in  Canada  your  postal  code  determines  your  health  Looking  forward  to  the  Netf,,racism|problem,-2,negative
393,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
394,Thanks  we  can  always  count  on  you  to  keep  the  issues  in  front  on  other  MP  s  Your  dedication  to  Canada  Agriculture  doesn  t  go  on  noticed,,issues,-1,negative
395,Canada  Tibet  Committee  Victoria  Branch  sing  the  Tibet  National  Anthem  at  a  Free  Tibet  Rally  at  the  BC  Legislature  the,free,,1,positive
396,My  point  is  that  systems  like  Medicare  for  all  take  time  And  again  taking  away  what  people  have  is  hard  So  take  something  and  expand  on  it  Maybe  we  can  do  it  faster  than  Canada  but  not  gonna  happen  in  4  years,like|faster,hard,1,positive
397,BBC  News  -  Will  Joe  Biden  s  political  record  come  back  to  haunt  him,,haunt,-1,negative
398,US  F-22  stealth  jets  and  Canadian  CF-18  fighters  intercepted  two  Russian  reconnaissance  aircraft  while  they  were  flying  off  the  Al,,,0,neutral
